,constellation,iterations,seed_value,mu,sigma,number_of_satellites,total_area_earth_km_sq,coverage_area_per_sat_sqkm,altitude_km,dl_frequency_Hz,dl_bandwidth_Hz,speed_of_light,antenna_diameter_m,antenna_efficiency,power_dBw,receiver_gain_dB,earth_atmospheric_losses_dB,all_other_losses_dB,number_of_channels,polarization,monthly_traffic_GB,percent_of_traffic,fuel_mass_kg,fuel_mass_1_kg,fuel_mass_2_kg,fuel_mass_3_kg,satellite_launch_cost,ground_station_cost,spectrum_cost,regulation_fees,digital_infrastructure_cost,ground_station_energy,subscriber_acquisition,staff_costs,research_development,maintenance,discount_rate,assessment_period_year
33,Starlink,100,42,2,10,4425,510000000,115254.2372881356,542.2683391703611,13499999999.988314,500000000.0,300000000.0,0.7049222743379358,0.5090068547598854,30,33.49362063520117,10.70922671887848,0.6828163407926529,8,2,32.66409446031196,15,488370,0,0,0,247880126.02685508,49918558.81488147,131802869.6133479,1791058.953132838,3440179.657939422,2267563.5477804244,53659455.07521063,4699943.844076196,59988375.90411913,13191493.404956779,5,5
34,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1196.5009565590224,13500000000.041803,250000000.0,300000000.0,0.6398295182044755,0.6721122024109483,30,30.070545976283213,13.791980203231148,0.3566972231322126,8,2,29.59932976629998,15,218150,7360,0,0,726139383.3406626,50803358.23119392,112930434.58889627,8818237.892505988,3192393.7893361584,2453247.833098818,59716318.52553345,-383498.51489559514,59785130.598972075,12761094.375160698,5,5
35,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,609.0091131130241,17699999999.93344,250000000.0,300000000.0,0.9215758576769438,0.5197265271767418,30,33.1634374346655,16.43160737606811,0.6717819558835837,8,2,30.08958257341772,15,0,10000,480000,184900,175593319.8756369,37008040.179602474,135784673.28064686,5860396.730433639,2849596.433597739,15775210.39102262,56854840.83451916,8090260.942950485,60729870.70247357,55872999.80716744,5,5
36,Starlink,100,42,2,10,4425,510000000,115254.2372881356,545.7664241970186,13499999999.947054,500000000.0,300000000.0,0.4634445088808379,0.5258772372704801,30,29.66446070931847,12.37783601380226,0.5223655995516988,8,2,31.723900463920764,15,488370,0,0,0,253190378.95316377,46468026.83170006,135424341.6235756,658784.8576991931,3908958.0872617327,3817430.1140512377,59501805.336094335,5984043.774319606,60569947.31412539,13811596.974115107,5,5
37,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1192.2947026250274,13499999999.976137,250000000.0,300000000.0,0.7024933152511208,0.6018172862756898,30,33.77235408031507,16.293650540345443,0.39573640605979726,8,2,32.81134098596862,15,218150,7360,0,0,724359768.5119025,44289647.63117205,125520562.82691239,5479126.7753311135,4099853.3663619813,3036701.9225007165,45823651.57474487,10139003.229396928,59989609.808234654,13976922.865610931,5,5
38,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,606.6627419120771,17700000000.03767,250000000.0,300000000.0,0.8725146810055442,0.6583981397541524,30,30.441677762432978,14.24327078156621,0.5167558357231122,8,2,27.428552497189663,15,0,10000,480000,184900,173266156.50572336,32649391.31798573,138684264.2156168,8236354.245934058,2165388.4239935093,14300608.90454611,59372736.19354612,10247358.230288254,59246730.53858516,54666620.662974566,5,5
39,Starlink,100,42,2,10,4425,510000000,115254.2372881356,549.1272632070381,13500000000.049307,500000000.0,300000000.0,0.7682034353390892,0.5780291983993876,30,27.686940705023147,11.043259991871306,0.34278304529973364,8,2,31.978637494201198,15,488370,0,0,0,250556757.4811199,45286892.35329513,111297095.59438083,-1234421.8009217484,3066816.7315931073,3665231.350425192,42471172.03076202,16003618.403083872,60998528.0069161,12173546.568049347,5,5
40,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1196.0771201669177,13499999999.923079,250000000.0,300000000.0,0.6842536749532987,0.6130721344878095,30,30.483472577910106,13.615965926819143,0.4891635450842517,8,2,29.41517808718718,15,218150,7360,0,0,711453881.9047782,48602728.64557216,118322808.16369568,7000808.029136552,4144373.4283166677,2469020.355237895,48249400.21902801,4689305.980853238,60321792.97176462,12921399.961495839,5,5
41,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,609.5019824401776,17700000000.08637,250000000.0,300000000.0,0.8470945221350368,0.6352459591816387,30,34.9533624506467,15.703580339760194,0.4692819625985584,8,2,33.6869185387311,15,0,10000,480000,184900,182847140.2430567,31147842.97615359,106004894.94150297,7069877.367820902,2404201.587733929,15330829.243621042,59023141.786889,-1191365.918968823,60414206.598780096,54837688.38596803,5,5
42,Starlink,100,42,2,10,4425,510000000,115254.2372881356,543.3949446500491,13499999999.912458,500000000.0,300000000.0,0.6266972010693995,0.609319832954953,30,31.540889952635567,9.725293492936782,0.43583393328031766,8,2,28.0923752852009,15,488370,0,0,0,252473412.77671608,48626990.06463799,115665685.51616319,1344868.8348931526,3850371.456476288,3990434.7558349688,58442692.43569915,17082790.59194381,59222340.59854385,12435927.884845015,5,5
43,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1195.982285299965,13500000000.000221,250000000.0,300000000.0,0.5180382496296483,0.6619531590869032,30,31.469057200608844,17.297607496094344,0.44623479503076147,8,2,31.1741936878555,15,218150,7360,0,0,717795603.4910694,52583471.00132425,112984389.13217136,7453892.3625635635,4286232.536997473,3650212.6161377886,55357913.74783201,12161888.282595484,60767813.14282683,12308316.973034063,5,5
44,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,601.7793362816739,17700000000.021458,250000000.0,300000000.0,1.069804846944744,0.554106474642563,30,33.048608606097176,12.345719641382006,0.591997078187654,8,2,25.724715268055178,15,0,10000,480000,184900,182255936.53041583,32358469.94135573,119281251.76104958,8918281.522042472,1544850.610050661,15113534.219070636,49174770.75285778,12031118.790762741,59156872.941770166,55962809.40805602,5,5
45,Starlink,100,42,2,10,4425,510000000,115254.2372881356,545.9520042912119,13500000000.031626,500000000.0,300000000.0,0.6943847031272051,0.6107839438676842,30,30.289465560998877,12.398305706989236,0.6346374168180247,8,2,30.393806840672895,15,488370,0,0,0,255117030.97874856,53564162.524715215,114188724.22178972,708859.77536031,4270885.818131285,3961351.3747973638,45208256.38662708,755612.6701317425,59905781.070962854,12950017.229675177,5,5
46,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1190.254706997442,13500000000.009415,250000000.0,300000000.0,0.7518172797739417,0.6890546687300916,30,34.6521518368309,16.75495709398116,0.7240472576670747,8,2,27.17406219955724,15,218150,7360,0,0,727312356.616664,48447790.6256842,142632450.77244923,9197751.385385858,4197698.300830738,2735463.336405891,48469766.114262864,12809385.906433417,60587520.76219539,13397182.290689077,5,5
47,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,605.6030104001691,17699999999.92999,250000000.0,300000000.0,0.8424766387463647,0.6046513511775116,30,27.99757252722396,12.800550714565576,0.5055871479469695,8,2,27.805146014014483,15,0,10000,480000,184900,176153095.92320007,30866422.063069534,127377053.00320245,7228951.196563048,2725964.0849430272,15354670.567525903,47980269.16185118,-1537089.912901326,60103676.11126408,55042976.12427964,5,5
48,Starlink,100,42,2,10,4425,510000000,115254.2372881356,546.0818428941152,13500000000.03479,500000000.0,300000000.0,0.6561819926670185,0.6265964710112828,30,26.95575958232169,9.022552862019937,0.6746424182371894,8,2,34.005332319509165,15,488370,0,0,0,254742982.79208407,46411020.68143012,128345329.73940134,2534419.7475108914,3492699.8166619204,3490680.8254905976,59194542.78881038,4260500.161184693,60353005.4820912,12650424.29583023,5,5
49,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1195.7379388620152,13499999999.994696,250000000.0,300000000.0,0.7638868148160955,0.596264035737511,30,27.86939129771822,12.571260130589515,0.3899041688102116,8,2,25.57582042686537,15,218150,7360,0,0,710936990.9116782,50374406.18195442,118679092.15761271,8269712.21761714,4539080.32098235,2312508.0908531495,47904047.39821169,8501331.462065475,59071212.10785479,12456032.366964841,5,5
50,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,606.8306894793043,17699999999.910088,250000000.0,300000000.0,1.0612179773824861,0.5178289229588984,30,31.273696315436496,17.253692026174143,0.3556907201321354,8,2,33.9835915793144,15,0,10000,480000,184900,171489618.71646956,35225083.70966475,126332952.25714563,7063349.075507687,1713871.786643831,15750198.018130258,57145828.67634873,8252112.496339843,60068253.81444927,55070991.39284516,5,5
51,Starlink,100,42,2,10,4425,510000000,115254.2372881356,540.0195208247136,13500000000.090769,500000000.0,300000000.0,0.621340246323712,0.5062844625178126,30,30.80537841061356,11.241364443809552,0.511796282675904,8,2,27.810992358766647,15,488370,0,0,0,257270202.7586242,48164232.86493582,116205234.14790858,-923927.412791975,2561486.422919821,3526703.9887503237,54607942.405155055,8493557.461102257,59933104.42549957,12914278.738805553,5,5
52,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1197.5725857382165,13500000000.08896,250000000.0,300000000.0,0.5973283851903322,0.644330888410093,30,28.201674773913744,12.488153758396967,0.7023280276071657,8,2,30.84242861338119,15,218150,7360,0,0,723994103.0454382,46532742.99153588,131600680.30800661,9131909.353727162,3564149.585189568,3515911.8672794094,46244096.947849,17363458.915062565,60313414.95186234,12168139.398173053,5,5
53,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,602.1338478399018,17699999999.93608,250000000.0,300000000.0,1.0785689826402782,0.6547948549432001,30,35.9369621801864,17.542366491003836,0.6061197916681691,8,2,25.13449272494836,15,0,10000,480000,184900,178672066.55868816,28077083.881259784,129274790.02375199,8309949.183068827,2136003.865889229,14733678.101859635,58167515.23505567,-886142.290113443,60802257.60103029,55880549.29716801,5,5
54,Starlink,100,42,2,10,4425,510000000,115254.2372881356,544.3640668048942,13499999999.933258,500000000.0,300000000.0,0.596567464152024,0.612243616406915,30,33.79261281974037,7.73741347348432,0.6906470704052171,8,2,31.170053619224404,15,488370,0,0,0,256097303.41754076,44225414.81754862,118190702.75552584,2250165.6391947134,2670316.15390663,4087290.243860874,57631878.24456483,3255346.7077011187,59023666.51562848,13803256.943639271,5,5
55,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1196.98224421559,13499999999.9863,250000000.0,300000000.0,0.5191397495268408,0.6022503837948534,30,34.05817277513331,12.825879581607786,0.3934382107089069,8,2,29.247907069105995,15,218150,7360,0,0,728018605.742676,45065597.00217806,106785313.45801996,8422061.86659227,3789749.5981011037,4141207.1673869444,44664373.517958805,6678313.302066565,60002466.30607213,13146213.799060155,5,5
56,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,602.9258534224483,17700000000.0503,250000000.0,300000000.0,0.8849574583036371,0.6066531763701332,30,27.00354426965677,16.27839724062922,0.3573126308711887,8,2,29.054193052165253,15,0,10000,480000,184900,173264664.94709668,28530134.48172961,144849166.31881016,7375638.690330941,1534753.9999173265,15169284.191227144,49949438.84865445,9685612.557486804,60757184.050837226,55690038.57358696,5,5
57,Starlink,100,42,2,10,4425,510000000,115254.2372881356,548.1090305809034,13499999999.921879,500000000.0,300000000.0,0.41788659483398044,0.5651870761285884,30,25.80378464345807,9.983747628390734,0.401708833850671,8,2,28.349894966476853,15,488370,0,0,0,244724602.39040405,48016231.99040559,129261727.30909933,2258678.2229600702,3041074.224090183,2983249.6208285224,59082907.12247461,4925334.9462395655,59561989.00130944,13130288.804070072,5,5
58,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1191.7656683835735,13499999999.985813,250000000.0,300000000.0,0.5041571206703302,0.6193649601643527,30,30.18952862868212,13.325562887202462,0.43444152258117175,8,2,34.31397321082535,15,218150,7360,0,0,718678692.9925283,46021486.26979925,134740938.96144658,6775632.801836107,3118259.6457838565,3278418.4342602817,55499879.17346741,6137021.665341547,59377693.157862924,12627693.748987177,5,5
59,Kuiper,100,42,2,10,3236,510000000,157601.97775030902,606.4913844609239,17700000000.07321,250000000.0,300000000.0,1.0771936791293175,0.6464769166013619,30,29.298410326280496,17.651064700387966,0.5610070832282451,8,2,29.74901484389057,15,0,10000,480000,184900,177287312.01061907,36686783.86430285,131392034.02474509,7697193.15067138,3018745.5817167303,14604046.21323796,48159833.260837145,1479616.9715965204,60335793.7128673,55948587.2481943,5,5
60,Starlink,100,42,2,10,4425,510000000,115254.2372881356,545.8350005196405,13499999999.912193,500000000.0,300000000.0,0.5246495091321504,0.6054098022221747,30,33.65459310900552,7.70262203875435,0.6228484280707565,8,2,30.977485101950048,15,488370,0,0,0,241615387.03904518,51718023.18193741,116704042.68895102,2427563.1930923136,4124218.1969878324,2951655.3061053045,57286520.63869075,10067101.254114874,59892102.635738246,12216401.450946873,5,5
61,OneWeb,100,42,2,10,720,510000000,708333.3333333334,1199.4493675754213,13500000000.057861,250000000.0,300000000.0,0.7172490405706723,0.5978414947145948,30,29.2318900322187,15.727224254018495,0.40639818981901643,8,2,33.258785321824476,15,218150,7360,0,0,710597418.9735819,53562221.71141799,133127955.43631926,6146764.191745071,3565673.307664941,3460046.7299164524,46837532.63122953,-173612.37538743066,60482945.16273503,13018969.565898128,5,5
